band,inception,musician
AD,1983,Kerry Livgren
Black Tie,1986,Jimmy Griffin
Dah,1972,Zlatko Manojlović
Duck and Cover,1983,Tom Cora
Das Oath,1999,Mark McCoy
Blue Peter,1978,Paul Humphrey
Damien Deadson,2010,Ryan Helm
Fifth Column,1985,G. B. Jones
Big Tom and The Mainliners,1966,Big Tom
Bluegrass Album Band,1980,Tony Rice
Dundertåget,2008,Robert Dahlqvist
Blinker the Star,1993,Jordon Zadorozny
E For Explosion,2005,Jamison Covington
Chantoozies,1986,Ally Fowler
Big Four,2009,Dicky Cheung
Bluejuice,2001,Jake Stone
Dead Hollywood Stars,2000,John Sellekaers
Dʼ Boys,1982,Peđa D'Boy
Daughter,2010,Elena Tonra
Dave Matthews and Tim Reynolds,1993,Dave Matthews
Dumb and the Ugly,1987,David Brown
Big Talk,2011,Ronnie Vannucci
Big Four,2009,Edmond Leung
Fifth Column,1985,Caroline Azar
7th Order,2001,Vicious Rumors
Black Market Militia,2005,Killah Priest
Fifth Column,1985,Beverly Breckenridge
Dead Ends,1985,Al Dimalanta
Daylight Division,2009,Marcos Curiel
Blue Ash,1969,Frank Secich
Damnocracy,2006,Sebastian Bach
Change of Heart,1982,Ian Blurton
Fiction Family,2006,Sean Watkins
Black Diamond Bay,2006,Patrick Krief
Blu & Exile,2007,Blu
Dark Star,1996,Christian Hayes
A Covenant of Thorns,1992,Scott-David Allen
Fifths of Seven,2005,Spencer Krug
Big House,1994,Monty Byrom
Citizens Arrest,1989,Daryl Kahan
Epidemic,1987,Geoff Bruce
Procession,2006,Felipe Plaza Kutzbach
Boss Volenti,2003,Graham Hopkins
Food,2005,Iain Ballamy
Dirty Sanchez,2001,Jackie Beat
Bombay Rockers,2002,Navtej Singh Rehal
Boom Crash Opera,1985,Andrew De Silva
Civilization One,2006,Chitral Somapala
City of Fire,2008,Burton C. Bell
Detonautas Roque Clube,1997,Tico Santa Cruz
Elipse,1962,Zoran Simjanović
Clayton-Hamilton Jazz Orchestra,1985,John Clayton
Flipper's Guitar,1989,Kenji Ozawa
Dee Dee Ramone and the Chinese Dragons,1992,Dee Dee Ramone
Grotesque,1988,Alf Svensson
Ellwood,2009,Chuck Robertson
Erase Errata,1999,Jenny Hoyston
Circus Diablo,2006,Billy Morrison
Deep Dark Robot,2010,Linda Perry
Cocaine 80s,2011,No I.D.
Department of Eagles,2001,Daniel Rossen
Espen Eriksen Trio,2007,Espen Eriksen
Discovery,2005,Rostam Batmanglij
Guy & Ralna,1970,Guy Hovis
Eldkvarn,1976,Plura Jonsson
Circo,2001,Nicolás Cordero
Chubby Carrier and the Bayou Swamp Band,1989,Chubby Carrier
Flowerhead,1987,Peter G. Levine
Gravetemple,2006,Attila Csihar
Forest City Lovers,2006,Kat Burns
Epikouri,1980,Anna Vissi
Electric Angels,1989,Ryan Roxie
Cog,1998,Flynn Gower
Green Apple Quick Step,1992,Tyler Willman
Dobrovoljno Pevačko Društvo,1994,Srđan Šaper
Clearlight,1996,Jimmy Bower
Grand Mal,1995,Bill Whitten
Cold Cold Hearts,1995,Allison Wolfe
Cloud2Ground,1996,Jeremy Dawson
Flower,1986,Richard Baluyut
Def FX,1990,Larry Van Kriedt
Framus Five,1963,Michal Prokop
Chvrches,2011,Lauren Mayberry
Eraserheads,1989,Ely Buendia
Enur,1998,Rune RK
Project Rocket,2002,Andy Hurley
Design,1968,Barry Johnston
Floor Thirteen,1998,"Canadian Idol, season 4"
Forever More,1969,Alan Gorrie
Circus Devils,2001,Robert Pollard
Dobrovoljno Pevačko Društvo,1994,Kiki Lesendrić
Bonjour Brumaire,2007,Cœur de pirate
Collider,1997,Jed Davis
Fosca,1997,Dickon Edwards
Deepspace5,1995,Playdough
Def FX,1990,Fiona Horne
Collarbone,2000,Kasmir
Bourbon Tabernacle Choir,1985,Kate Fenner
Eraserheads,1989,Raimund Marasigan
Forgodsake,1990,Chris McCormack
Elephant9,2006,Ståle Storløkken
Foreign Objects,1995,Deron Miller
Engine,1999,Ray Alder
Chris Brown and Kate Fenner,1996,Chris Brown
The Jodimars,1955,Marshall Lytle
Dobrovoljno Pevačko Društvo,1994,Nebojša Krstić
Eraserheads,1989,Marcus Adoro
The Boom,1986,Kazufumi Miyazawa
Eric's Trip,1990,Rick White
Clock,1993,Stu Allan
Death of Samantha,1984,Doug Gillard
Eraserheads,1989,Buddy Zabala
Destroy All Monsters,1973,Niagara
Disturbing the Peace,1996,Rob Tweedie
Follow for Now,1987,David Ryan Harris
College Boyz,1991,Romany Malco
England Dan & John Ford Coley,1970,Dan Seals
Fobia,1987,Jay de la Cueva
Closure,2002,Brian Howes
Chilli Willi and the Red Hot Peppers,1971,Snakefinger
Deep Wound,1982,J Mascis
Fol Chen,2009,Patrik-Ian Polk
Coconut Rough,1982,Andrew Snoid
Greta,1992,Brad Wilk
Energit,1973,Luboš Andršt
Lily Chou-Chou,2000,Salyu
Device,2012,David Draiman
Diatribe,1991,Marc Jameson
Fluffers,2003,Glenn Tilbrook
Elipse,1962,Milan Kašanin
Forgodsake,1990,Kevin Ridley
Flipper's Guitar,1989,Cornelius
Children of the Corn,1993,Big L
Chiefs of Relief,1984,Matthew Ashman
Elfonía,2001,Marcela Bovio
Nylon Beat,1995,Erin
Eruption,1970,Conrad Schnitzler
Grievous Angels,1986,Charlie Angus
Green,1984,Ken Kurson
Dirty on Purpose,1992,Doug Marvin
Dirty on Purpose,1992,Joseph Jurewicz
Fold Zandura,1995,Jyro Xhan
Deep Dickollective,2000,Juba Kalamka
Dingobats,1995,Eirik Hegdal
Boom Boom Kid,2000,Carlos Rodríguez
Clancy,1971,Colin Bass
Fol Chen,2009,Adam Samuel Goldman
Den Saakaldte,2006,Niklas Kvarforth
Whiplash,1984,Tony Bono
Cloroform,1998,John Erik Kaada
Yuma Nakayama w/B.I.Shadow,2009,Yuma Nakayama
Fliflet/Hamre,1991,Gabriel Fliflet
Eso-Charis,1995,Cory Brandan Putman
Chokt,2006,Pete Murray
Nylon Beat,1995,Jonna Geagea
Clover,1967,Alex Call
Elevator,1994,Rick White
Forgetters,2009,Blake Schwarzenbach
Izrael,1983,Robert Brylewski
The Dreaming,2001,Christopher Hall
Hot Rize,1978,Charles Sawtelle
Hot Zex,1995,Vladimir Komarov
Inti-Illimani Histórico,2004,Horacio Durán
Inti-Illimani Histórico,2004,José Seves
Iroha,2008,Diarmuid Dalton
Frodus,2009,Shelby Cinca
Heavyweight Dub Champion,1997,Resurrector
FPB,1981,Miroslav Wanek
Fabulous Poodles,1975,Ronnie Golden
INCA,1983,Guillermo Bordarampé
Gartnerlosjen,1987,Kristopher Schau
Cantores de Híspalis,1976,Juan Luis Calceteiro
H & Claire,2002,Claire Richards
Furslide,1997,Jennifer Turner
Farrah,1999,Jez Ashurst
Inti-Illimani Histórico,2004,Angye Melissa  Noboa Leones
Kingyo,2007,Aiko Kayō
Guadalquivir,1977,Luis Cobo Manglis
It's OK!,1992,Robert Hecker
Helium,1992,Mary Lou Lord
PorSuiGieco,1974,León Gieco
Horse Feathers,2004,Peter Broderick
Gass,1965,Bobby Tench
Eye Alaska,2006,Roy English
Kit McClure Band,1982,Kit McClure
Hammers of Misfortune,2000,Janis Tanaka
Eureka Brass Band,1920,Harold Dejan
PorSuiGieco,1974,María Rosa Yorio
Furslide,1997,Adam MacDougall
Family Brown,1967,Barry Brown
Eu4ya,2003,Raffaella Carrà
Hope Sandoval & the Warm Inventions,2001,Hope Sandoval
Isglem,1987,Karl Seglem
Hot Zex,1995,Konstantin Nikonov
Gerald Danovitch Saxophone Quartet,1968,Gerald Danovitch
İpucu Beşlisi,1976,Mazhar Alanson
Furslide,1997,Jason Lader
House band of Conan O'Brien,1993,Max Weinberg
Kingyo,2007,Yu Hasebe
Factory Star,2008,Martin Bramah
Hot Zex,1995,Alex Kelman
Jack Blanchard & Misty Morgan,1970,Jack Blanchard
King Apparatus,1987,Chris Murray
Harmaja,2007,Juha-Pekka Leppäluoto
Geggy Tah,1994,Greg Kurstin
Hard,2004,Björn Lodin
İpucu Beşlisi,1976,Özkan Uğur
İpucu Beşlisi,1976,Fuat Güner
Pedro y Pablo,1968,Miguel Cantilo
J Mascis + The Fog,2000,J Mascis
Gay Men's Chorus of San Diego,1992,San Diego Men's Chorus
Heavens,2006,Matt Skiba
Friction,1978,Tatsuya Nakamura
Jack Blanchard & Misty Morgan,1970,Misty Morgan
Geezer Butler Band,1984,Geezer Butler
Soluna,1975,Gustavo Santaolalla
Fun People,1989,Carlos Rodríguez
Frog Eyes,2001,Carey Mercer
Frente!,1991,Angie Hart
Gay Dad,1994,Cliff Jones
Soluna,1975,Alejandro Lerner
Family,1973,Jody Payne
Soluna,1975,Horacio Gianello
Hacienda Brothers,2002,Chris Gaffney
From Ashes Rise,1997,Dave Atchison
Hanson,1973,Junior Marvin
Pedro y Pablo,1968,Jorge Durietz
Heads of State,2008,Bobby Brown
İpucu Beşlisi,1976,Galip Boransu
İpucu Beşlisi,1976,Ayhan Sicimoğlu
Hot Snakes,1999,John Reis
Huelga De Hambre,1994,Jhovan Tomasevich
J*S*T*A*R*S,2002,Steve Cobby
Honey Is Cool,1994,Karin Dreijer
Exotic Birds,1983,Andy Kubiszewski
Frente!,1991,Simon Austin
hHead,1991,Noah Mintz
Head Wound City,2004,Jordan Blilie
Hot Snakes,1999,Rick Froberg
Home Service,1980,John Tams
Hazen Street,2004,Chad Gilbert
Knives Out!,2006,Todd Smith
Gangrene,2010,The Alchemist
Funky Junction,1972,Phil Lynott
King James,1993,Rex Carroll
Hounds Below,2009,Jason Stollsteimer
JJ DOOM,2011,Jneiro Jarel
Honkytonk Homeslice,2004,Bill Nershi
Isles & Glaciers,2008,Craig Owens
Faith,1984,Roger Johansson
Generator X,1998,Christian Wallumrød
Excellence,2001,Ana Johnsson
Quirquiña,1998,Alejandro Delius
Furniture,1979,Jim Irvin
Homer and Jethro,1936,Henry D. Haynes
Headstones,1987,Hugh Dillon
Fushitsusha,1978,Ikuro Takahashi
Koo De Tah,1984,Tina Cross
Gold Motel,2009,Greta Salpeter
Koolism,1992,Hau Latukefu
Fruit Bats,1997,Eric D. Johnson
Frozen Ghost,1985,Arnold Lanni
Fushitsusha,1978,Keiji Haino
It's Alive,1985,Max Martin
Geneva (band),1992,Andrew Montgomery
Extended Noise,1982,Erik Balke
Gatillazo,2005,Evaristo Páramos
Fast Forward,1984,Ian Lloyd
Fushitsusha,1978,Jun Kosugi
González y Los Asistentes,1997,Gonzalo Henríquez
González y Los Asistentes,1997,Claudio Espinoza
Fat Tulips,1987,Mark D
Fair Ground,2005,Pete Lesperance
PorSuiGieco,1974,Raúl Porchetto
Heavens to Betsy,1991,Corin Tucker
Heaven Below,2008,Patrick Kennison
Cantores de Híspalis,1976,Pascual González Moreno
Farewell Continental,2007,Justin Pierre
PorSuiGieco,1974,Charly García
JamisonParker,2003,Jamison Covington
Los Iracundos,1958,Eduardo Franco
Hudson Brothers,1965,Bill Hudson
Los Sin Nombre,1994,Álvaro Fuentes
Landscape,1974,Richard James Burgess
Godstar,1991,Robyn St Clare
Last Tribe,2000,Magnus Karlsson
I Am I,2012,ZP Theart
Ghostwriters,1990,Rob Hirst
Gods Child,1991,Chris Seefried
Los Sin Nombre,1994,Pablo Benegas
Lab Report,1989,Genesis P-Orridge
Stars on 54,1998,Amber
Highway 101,1986,Nikki Nelson
Left Spine Down,2003,Jared Slingerland
Gordi,1984,Zlatko Manojlović
League of Blind Women,1998,Rob Buck
Golden Half,1970,Maria Mori
Golden Half,1970,Runa Takamura
Illegal,1993,Jamal
Goldspot,2001,Siddharta Khosla
HoBoLeMa,2008,Allan Holdsworth
Goshen,1994,Grant Hayunga
Godstar,1995,Nic Dalton
Humpy Bong,1970,Colin Petersen
La Diva,2008,Jonalyn Viray
La Noche,2000,Alexitico
Lands,2009,Jin Akanishi
Death Threat,1993,Gloc-9
Godstar,1991,Nic Dalton
Rooster,2003,Nick Atkinson
Highasakite,2011,Trond Bersu
Joan Jett & the Blackhearts,1980,Joan Jett
Leslie Spit Treeo,1989,Laura Hubert
La Máquina de Hacer Pájaros,1975,Charly García
La Máquina de Hacer Pájaros,1975,José Luis Fernández
NonExist,2000,Johan Reinholdz
Monade,1996,Lætitia Sadier
jacksoul,1996,Haydain Neale
La Máquina de Hacer Pájaros,1975,Oscar Moro
Hipsway,1984,Johnny McElhone
StylipS,2011,Miku Itō
Hipodil,1988,Svetoslav Vitkov
Larval Stage Planning,2010,Q6037624
Human Switchboard,1977,Dave Schramm
Lapush,2002,Thom Donovan
Dogma SS,1993,Daniel F
Last Exit,1986,Sonny Sharrock
StylipS,2011,Moe Toyota
Human Arts Ensemble,1971,Joseph Bowie
I Spy,1991,Todd Kowalski
Her Majesty & The Wolves,2010,Kimberly Wyatt
StylipS,2011,Maho Matsunaga
StylipS,2011,Yui Ogura
Highasakite,2011,Ingrid Helene Håvik
Lava Hay,1989,Suzanne Little
The Friday Night Boys,2006,Andrew Goldstein
Get Smart!,1980,Velvet Crush
Elefante,2000,Reyli
IRA,1987,Artur Gadowski
Gordi,1977,Zlatko Manojlović
La Luz,2005,Ariel Minimal
La Máquina de Hacer Pájaros,1975,Gustavo Bazterrica
L'Étranger,1980,Andrew Cash
Sam & The Soul Machine,1968,Sam Henry
Hissanol,1994,Andy Kerr
La Máquina de Hacer Pájaros,1975,Carlos Cutaia
Tan Bionica,2002,Chano Moreno Charpentier
Telecast,2003,Josh White
Hush,1971,Keith Lamb
Jack the Lad,1973,Rod Clements
Humcrush,2005,Ståle Storløkken
Imani Winds,1997,Valerie Coleman
Curacas,1967,José Miguel Camus
Box Codax,2003,Nicholas McCarthy
StylipS,2011,Arisa Noto
StylipS,2011,Kaori Ishihara
Luna Verde,1994,Valentina Rendón
La Luz,2005,Daniel Colombres
Girlfriend,1991,Robyn Loau
Glass Wave,2008,Robert Pogue Harrison
Takara,1987,Jeff Scott Soto
Ghetto Brothers,1969,Benjamin Melendez
Lenny Valentino,1998,Artur Rojek
Glass Cloud,2011,Jerry Roush
Illinois Speed Press,1968,Paul Cotton
Jackson Jackson,2006,The Cat Empire
Leadfoot,1995,Karl Agell
Sam & The Soul Machine,1968,Ziggy Modeliste
Larval Stage Planning,2010,Rin Asami
Moje 3,2013,Sara Jovanović
Human Switchboard,1977,Robert Joseph Pfeifer
Sam & The Soul Machine,1968,Aaron Neville
Immaculate Machine,2003,Brooke Gallupe
Lama,2011,Koji Nakamura
Larry Chance and the Earls,1961,Larry Chance
Iceburn,1991,Gentry Densley
Larval Stage Planning,2010,Airi Kirishima
Luna Verde,1994,Carolina Sabino
Luna Verde,1994,Jorge Cárdenas
Los Sin Nombre,1994,Xabi San Martín
Human Clay,1996,Marcel Jacob
Lama,2011,Miki Furukawa
I Can Make a Mess,2003,Ace Enders
Paraíso,1979,El Zurdo
Hey Mercedes,1999,Bob Nanna
Land,1993,Jeff Greinke
Kraken,1983,Elkin Ramírez
Hurd,1987,list of Hurd band members
Hit Squad,1990,EPMD
Sam & The Soul Machine,1968,Cyril Neville
Glass Harp,1970,Phil Keaggy
The Stunners,2008,Allie Gonino
Lau,2005,Kris Drever
Gonzalez,1970,Bobby Tench
James Taylor Move,1967,Kevin Peek
Moje 3,2013,Nevena Božović
Los Sin Nombre,1994,Haritz Garde
gnom,1995,Janove Ottesen
Moje 3,2013,Mirna Radulović
Idiot Flesh,1985,Nils Frykdahl
Ginger,1992,Vincent Jones
Yuxu,1988,Ibrahim Emin
Godstar,1995,Robyn St Clare
Jacobites,1982,Nikki Sudden
Godot,1980,David Hughes
Ninety Pound Wuss,1994,Jeff Suffering
Midori,2003,Mariko Gotō
Joe 90,1994,Chris Seefried
Kennedy Rose,1989,Mary Ann Kennedy
Marilyn's Vitamins,1995,Rob Moir
Juniper,1991,Damien Rice
Johnny and Jonie Mosby,1963,Johnny Mosby
Josh,2000,Qurram Hussain
Dudaim,1957,Benny Amdursky
Jello Biafra and the Guantanamo School of Medicine,2008,Andrew Weiss
Kryštof,1994,Richard Krajčo
Mak and the Dudes,2007,Makisig Morales
Jazzpunkensemblet,1983,Jon Eberson
Jazzpunkensemblet,1983,Geir Holmsen
Lilygreen & Maguire,2011,Jon Lilygreen
Él Mató a un Policía Motorizado,2003,Santiago C. Motorizado
Negative,1999,Ivana Peters
Jello Biafra and the Guantanamo School of Medicine,2008,Jello Biafra
Little Jackie,2008,Imani Coppola
Loose Fur,2000,Jeff Tweedy
Jetplane Landing,1999,Cahir O'Doherty
Look People,1985,Jaymz Bee
VIA Talas,1981,Bojan Pečar
Kryštof,1994,Nikolaj Atanasov Arichtev
Intricate Unit,1999,Ben Kopec
Manchild,1972,Babyface
Alisha's Attic,1996,Shelly Poole
Obits,2006,Rick Froberg
McHayes,2003,Wade Hayes
Kal,1996,Branko Isaković
Q6646123,1972,Q35523388
Math and Physics Club,2004,Kevin Emerson
Non-Prophets,1998,Sage Francis
Manitoba's Wild Kingdom,1986,Richard Manitoba
Ink & Dagger,1995,Don Devore
Levitation,1990,Terry Bickers
Bulevar,1978,Dejan Cukić
Lone Justice,1982,Maria McKee
Novacaine,1996,Phil Gough
JøKleBa,1990,Per Jørgensen
Main,1991,Robert Hampson
Alisha's Attic,1996,Karen Poole
Streetheart,1977,Ken Sinnaeve
Johnny and Jonie Mosby,1963,Jonie Mosby
SATTAS,2005,Orçun Sünear
Lettuce,1992,Jeff Bhasker
John Schumann and the Vagabond Crew,2005,Michael Atkinson
Let's Active,1981,Mitch Easter
No Mercy,1982,Mike Clark
Lloyd Cole and the Commotions,1982,Lloyd Cole
Lloyd Cole and the Commotions,1982,Blair Cowan
Ninja Sex Party,2009,Brian Wecht
Incredible Expanding Mindfuck,1996,Steven Wilson
Lone Justice,1982,Bruce Brody
Lifter Puller,1994,Craig Finn
Los Fronterizos,1953,Gerardo I. Lopez
Q6646123,1972,Daklon
Ninja Sex Party,2009,Dan Avidan
Novacaine,1996,Erik Godal
No Plan B,2009,Roger Daltrey
OHMphrey,2008,Chris Poland
Los Fronterizos,1953,César Isella
Kepler,1997,Jeremy Gara
Novacaine,1996,David Hallyday
Jet,1974,Andy Ellison
Lijadu Sisters,1965,Kehinde Lijadu
Kane Gang,1982,Martin Brammer
Lloyd Cole and the Commotions,1982,Neil Clark
Lloyd Cole and the Commotions,1982,Lawrence Donegan
Venus Flytrap (group),2005,Yollada Suanyot
Lifesavers Underground,1986,Michael Knott
Ersen ve Dadaşlar,1969,Ersen Dinleten
Mega City Four,1987,Darren Brown
Jasper Wrath,1969,Jeff Cannata
TK,2001,Diego Dibos
Jason and deMarco,2002,Jason
Masqualero,1982,Arild Andersen
Jerk,1998,Leeno Dee
Mandala,1965,Domenic Troiano
Los Fronterizos,1953,Eduardo Madeo
Joey Cape's Bad Loud,2011,Joey Cape
Jason and deMarco,2002,deMarco
Mandolinquents,1997,Simon Mayor
Magnetic North Orchestra,1992,Jon Balke
Magtens Korridorer,1995,Johan Olsen
Jerk,1998,Lamar Lowder
Nepal,1983,Peter Green
Lo-Pro,2002,Pete Murray
Lo-Pro,2002,Tommy Stewart
Banda XXI,1998,"Miguel ""Conejito"" Alejandro"
Johnnyswim,2005,Amanda Sudano
Invisibl Skratch Piklz,1989,DJ Disk
Lomax,2002,Paul Epworth
Psihomodo Pop,1983,Davor Gobac
Newsted,2013,Jason Newsted
July for Kings,1997,Joe Hedges
Nico Vega,2005,Michael Peña
Ases Falsos,2011,Martín del Real
Lethal,1982,Eric Cook
Kahvas Jute,1970,Bob Daisley
Lord,2003,Lord Tim
Jihad Jerry & the Evildoers,2006,Gerald Casale
Nouveau Riche,2005,Dominika Peczynski
Kat Men,2007,Darrel Higham
Lijadu Sisters,1965,Taiwo Lijadu
Liverpool Express,1975,Billy Kinsley
Just a Band,2003,Jim Chuchu
Keep Shelly In Athens,2010,Sarah P.
Kaydee,1994,Tara Blaise
OT Band,2009,Vukašin Brajić
Max Q,1989,Michael Hutchence
Wormed,1998,Phlegeton
Lionheart,1980,Dennis Stratton
Junkhouse,1989,Tom Wilson
Linda's Nephew,2005,Look See Proof
John & Mary,1989,John Lombardo
Infidels,1990,Molly Johnson
New Lost City Ramblers,1958,Mike Seeger
Badlands,1988,Jake E. Lee
Johnny Alegre Affinity,2002,Johnny Alegre
Magnets and Ghosts,2010,Dean Roland
Limblifter,1996,Ryan Dahle
Nick Buzz,1995,Jonathan Goldsmith
Khlyst,2006,Runhild Gammelsæter
Micro (band),1983,Amphol Lumpoon
O'Hooley & Tidow,2009,Belinda O'Hooley
Intermix,1992,Bill Leeb
Major Maker,2006,Todor Kobakov
Johnny and the Moon,2006,Dante DeCaro
Mecca Normal,1984,Jean Smith
Mecca Normal,1984,David Lester
News from Babel,1983,Lindsay Cooper
No Walls,1988,William DuVall
Dudaim,1957,Israel Gurion
Kalapana,1975,Mackey Feary
McBride & the Ride,1989,Terry McBride
lyme and cybelle,1964,Warren Zevon
Promise of the Real,2008,Lukas Nelson
Poperratic,1994,Jammes Luckett
Samantha 7,1998,C.C. DeVille
Sambrasa Trio,1965,Hermeto Pascoal
Quarteto Novo,1966,Théo de Barros
San Diego Men's Chorus,1985,Gay Men's Chorus of San Diego
Porter,2004,Juan Son
Memorain,1999,Ilias Papadakis
Menace Dement,1989,Neil Burke
The Prodigy,1990,Liam Howlett
Dream Girls,2011,Tia Lee
One Hit Wonder,1993,Randy Bradbury
MOJOFLY,1999,Kitchie Nadal
Love Runs Blind,1991,Ayub Bachchu
Kid Kilowatt,1996,Kurt Ballou
Saros,2004,Leila Abdul-Rauf
Lusk,1998,Paul D'Amour
Orbit,1994,Jeff Robbins
Sandwich,1998,Raimund Marasigan
Pork Tornado,1997,Jon Fishman
Dream Girls,2011,Puff Kuo
The Prodigy,1990,Leeroy Thornhill
Pyorrhoea,2001,Dariusz Brzozowski
Sack,1994,Martin McCann
Lovehammers,1994,Marty Casey
The Prodigy,1990,Keith Flint
Premature Ejaculation,1981,Rozz Williams
Kim Salmon and the Surrealists,1987,Kim Salmon
Oofotr,1993,Kjersti Stubø
SPC ECO,2007,Dean Garcia
Oddarrang,2003,Lasse Sakara
S,2003,Lee Ji-hoon
Sads,1999,Kiyoharu
Oddarrang,2003,Olavi Louhivuori
Preteen Zenith,2011,Tim DeLaughter
Killer Bunnies,1995,Barry Harris
Osvajači,1990,Zvonko Pantović
Q-Feel,1981,Martin Page
S,2003,Shin Hye-sung
Sisyphus,2012,Serengeti
Sisyphus,2012,Son Lux
Orrall & Wright,1994,Robert Ellis Orrall
Oblivion,2008,Nicholas Vasallo
Obscene Eulogy,1999,Mika Luttinen
Memphis La Blusera,1978,Alberto García
Oddarrang,2003,Ilmari Pohjola
Low Profile,1987,WC
Psyched Up Janis,1989,Sune Rose Wagner
Punchline,1998,Steve Soboslai
Sasha & John Digweed,1994,Sasha
Sasha & John Digweed,1994,John Digweed
Loser,2004,John 5
Orthotonics,1979,Paul Watson
Oslo Groove Company,1985,Helge Sunde
MaSKott,2008,Koray Candemir
Oddarrang,2003,Osmo Ikonen
Primitive Radio Gods,1991,Chris O'Connor
Low Level Flight,2006,Ryan Malcolm
Pseudopod,1998,Kevin Carlberg
S,2003,Kangta
Midnight Youth,2006,Jeremy Redmore
Saint Low,2000,Mary Lorson
Sisyphus,2012,Sufjan Stevens
"Men, Women & Children",2004,Todd Weinstock
Puma,2005,Stian Westerhus
Original Harmony Ridge Creekdippers,1995,Mark Olson
Oddarrang,2003,Lasse Lindgrén
Projected,2012,John Connolly
Mercey Brothers,1957,Larry Mercey
Pure Food and Drug Act,1969,Don Harris
The Chairman,1997,Q9062357
Los Zafiros (Cuba),1961,Manuel Galbán
MEN,2007,JD Samson
Sanulrim,1977,Kim Chang-wan
Prism,1975,Q56349079
Old Dogs,1998,Bobby Bare
Prism,1975,Mansaku Kimura
Prism,1975,Ken Watanabe
Operation: Cliff Clavin,1994,Chris Clavin
Prescott-Brown,1991,Barry Brown
Otrazhenie,1978,Vladimir Kolesnikov
Loveable Rogues,2010,"Britain's Got Talent, series 6"
Lord Vampyr's Shadowsreign,2005,Alexander Nunziati
Middian,2005,Mike Scheidt
Profetas y Frenéticos,1991,Antonio Soto
Old Time Relijun,1995,Phil Elverum
Pure Love,2011,Frank Carter & The Rattlesnakes
Prism,1975,Kōki Itō
Prism,1975,Akira Wada
Meet Me in St. Louis,2005,Tobias Hayes
Kill Sadie,1997,Minus the Bear
SS Cardiacs,2004,The Luyas
Lust Control,1988,HM
Sambalanço Trio,1964,Cesar Camargo Mariano
Officer Kicks,2005,Jamie Scallion
Orion the Hunter,1984,Fran Cosmo
Prism,1975,Jun Aoyama
Prism,1975,Masahiro Sayama
Prism,1975,Cheru Watanabe
Pouca Vogal,2008,Humberto Gessinger
Orquesta del Desierto,2002,Peter Stahl
Office of Future Plans,2009,J. Robbins
Opa,1969,Hugo Fattoruso
Project: Failing Flesh,2004,Eric Forrest
Men at Large,1992,Jason Champion
Prism,1975,Daisaku Kume
Odds,1987,Craig Northey
One to One,1984,Leslie Howe
Sans Filtre,1999,Takayuki Inoue
Sans Filtre,1999,Masaaki Sakai
Megasus,2006,Ryan Lesser
Ponga,1997,Dave Palmer
Midwest Kings,2001,Andy Skib
Sans Filtre,1999,Hiroshi Kamayatsu
Louie Says,1997,Sam Slovick
Dream Girls,2011,Song Mi-jin
Saccharine Trust,1980,Joe Baiza
Miltown,1995,Jonah Jenkins
Miserylab,1998,Porl King
Refugee Camp All-Stars,1997,John Forté
Stardust Five,2005,Paul Kelly
Rachel Stamp,1994,Thighpaulsandra
Secret Society,2005,DJ Eclipse
Rare Essence,1976,Anthony Harley
Red Rockers,1979,John Thomas Griffith
Parallels,2008,Holly Dodson
Motor Ace,1998,Patrick Robertson
Monks of Doom,1986,Victor Krummenacher
Raw Glory,2006,Les Binks
Sound Barrier,1980,David Brian Brown
Secret Society,2005,Ill Bill
Parabelle,2007,Kevin Matisyn
Rational Youth,1981,Bill Vorn
Rawlins Cross,1988,Joey Kitson
Quartette,1993,Cindy Church
Star Fucking Hipsters,2005,Stza
Stardust Revue,1979,Kaname Nemoto
Scott & Rivers,2010,Scott Murphy
Moby Dick,1992,Ana Stanić
Spoonfed Hybrid,1993,Ian Masters
Sparrow Quartet,2005,Abigail Washburn
Raven & Kreyn,2013,Alexandre Abescat
Stardust Revue,1979,Yasuhiro Mitani
PFR,1991,Joel Hanson
P.O.T.,1996,Karl Roy
Peppertones,2003,Shin Jaepyung
Quo,1993,Wade Robson
Moby Dick,1992,Aleksandra Perović
Raw Radar War,2002,Jonah Jenkins
SoundGirl,2010,Izzy Bizu
Rehasher,2002,Roger Lima
Papercranes,2003,Rain Phoenix
Mosque,1987,Shaun Keaveny
Partyline,2004,Allison Wolfe
Second Coming,1990,Johnny Bacolas
Sounds of Blackness,1969,Ann Nesby
Moments in Grace,2003,As Friends Rust
Re-Volts,2007,Spike Slawson
Mount Eerie,2003,Phil Elverum
Milo Greene,2010,Andrew Heringer
Moby Dick,1992,Srđan Čolić
Splendid,1999,Angie Hart
Sound City Players,2012,Dave Grohl
Sauze,2008,Toni Amboaje
Peppertones,2003,Lee Jangwon
Mojack,1995,Greg Ginn
Southend,1992,Sameer Sengupta
Science Faxtion,2007,Bootsy Collins
Seven Summers,2009,Matt Cardle
Sepalcure,2011,Machinedrum
Scanch,1982,Rolly Teranishi
PanKe Shava,2008,Tymofiy Morokhovets
Radnička Kontrola,1979,Zoran Kostić
Moistboyz,1991,Dean Ween
Moufette,2004,Steve Durand
Starbreaker,2004,Tony Harnell
Ray Columbus & the Invaders,1964,Ray Columbus
Serpent Throne,2005,Demian Fenton
Stardusters,1936,June Hutton
Starman,2009,Pineapple Dance Studios
Radio Blank,1976,Alan Gill
