person,spouse
Ernest Borgnine,Tova Traesnaes
Olivia de Havilland,Pierre Galante
Larry Ellison,Nancy Wheeler Jenkins
James Cagney,Frances Vernon
Paulette Goddard,Charlie Chaplin
Eric Allman,Marshall Kirk McKusick
Warren Beatty,Annette Bening
Peter Norvig,Hanne Nørrisgaard
Alfred Schütz,Ilse Schutz
Paul Lazarsfeld,Marie Jahoda
Alan Kay,Bonnie MacBird
James Ingo Freed,Hermine Freed
James Stewart,Gloria Hatrick McLean
James Caan,Sheila Ryan
Thomas C. Südhof,Lu Chen
Norma Shearer,Irving Thalberg
Jack Lemmon,Felicia Farr
Delmer Daves,Mary Lawrence
Paul Lazarsfeld,Herta Herzog
Henry Villard,Fanny Garrison Villard
Ralph Merkle,Carol Shaw
Blake Shelton,Miranda Lambert
Fred Astaire,Robyn Smith
Gary Cooper,Veronica Cooper
Barry Boehm,Sharla Boehm
John Rewald,Alice Bellony
Paulette Goddard,Erich Maria Remarque
Paulette Goddard,Burgess Meredith
Marshall Kirk McKusick,Eric Allman
Joan Fontaine,Collier Young
Karl Sims,Pattie Maes
Mathilde Franziska Anneke,Fritz Anneke
Joseph Cotten,Patricia Medina
Fred Astaire,Phyllis Livingston Potter
Barbara Stanwyck,Robert Taylor
Jane Wyman,Fred Karger
Jane Wyman,Ronald Reagan
Jack Lemmon,Cynthia Stone
Eugene O'Neill,Agnes Boulton
Hans Lachmann-Mosse,Felicia Lachmann-Mosse
Paul Lazarsfeld,Patricia Kendall
Jean Cox,Anna Reynolds
Bob Hope,Dolores Hope
Harriet Beecher Stowe,Calvin Ellis Stowe
Berta Scharrer,Ernst Scharrer
Farrah Fawcett,Lee Majors
Barbara Stanwyck,Frank Fay
F. Scott Fitzgerald,Zelda Fitzgerald
Robert W. Floyd,Christiane Floyd
Eric Schmidt,Wendy Schmidt
Joan Fontaine,Brian Aherne
John Carmack,Katherine Anna Kang
Joan Fontaine,William Dozier
Vicki Baum,Q61930509
Robin Williams,Marsha Garces
Jacob L. Moreno,Zerka T. Moreno
John Travolta,Kelly Preston
Nikki Boyer,David Denman
Carl Ferdinand Cori,Gerty Cori
Wilhelm Reich,Annie Reich
Mark David Chapman,Gloria Chapman
Paul Kohner,Lupita Tovar
Saul Bellow,Alexandra Bellow
Fritz Stiedry,Erika Stiedry-Wagner
Hede Massing,Paul Massing
Robin Williams,Valerie Velardi
Carl Djerassi,Diane Middlebrook
Edwin Ernest Salpeter,Mika Salpeter
Kurt Robert Eissler,Ruth Eissler-Selke
Hede Massing,Julian Gumperz
Lion Feuchtwanger,Marta Feuchtwanger
Mike Tyson,Robin Givens
Victor Louis Berger,Meta Schlichting Berger
Max Reinhardt,Helene Thimig
Oscar Klein,Miriam Klein
Oskar Homolka,Grete Mosheim
Francis Lederer,Margo
Julianne Moore,John Gould Rubin
Salka Viertel,Berthold Viertel
Helene Deutsch,Felix Deutsch
Veronica Lake,André de Toth
Steven Seagal,Adrienne La Russa
Peter B. Neubauer,Donna Keath
Pearl S. Buck,John Lossing Buck
Oskar Homolka,Florence Meyer
Steven Seagal,Kelly Le Brock
Veronica Lake,John S. Detlie
Julianne Moore,Bart Freundlich
Arthur Miller,Marilyn Monroe
Oskar Homolka,Joan Tetzel
Béla Bartók,Ditta Pásztory-Bartók
Leslie Nielsen,Monica Boyar
Margarete Mitscherlich-Nielsen,Alexander Mitscherlich
Franz Werfel,Alma Mahler
Isabel Allende,Miguel Frías
Michael Weston,Priscilla Ahn
Gertrude Scharff Goldhaber,Maurice Goldhaber
Harrison Ford,Mary Marquardt
Arthur Miller,Mary Slattery
Peter Lorre,Kaaren Verne
Werner Klemperer,Louise Troy
Basil Poledouris,Bobbie Poledouris
Ernst von Hesse-Wartegg,Minnie Hauk
Danny Nucci,Paula Marshall
Celia Lovsky,Peter Lorre
Peter Lorre,Celia Lovsky
Spider-man,Mary Jane Watson
Ernst Florian Winter,Johanna von Trapp
Werner Klemperer,Kim Hamilton
Isabel Allende,Willie Gordon
Pierce Brosnan,Cassandra Harris
Anni Albers,Josef Albers
Pamela Anderson,Tommy Lee
Superman,Lois Lane
Cary Grant,Barbara Hutton
Harrison Ford,Melissa Mathison
Carl Zuckmayer,Alice Herdan-Zuckmayer
Al Capone,Mae Capone
Megan Fox,Brian Austin Green
Cary Grant,Betsy Drake
Pierce Brosnan,Keely Shaye Smith
Charlton Heston,Lydia Clarke
Ludwig von Mises,Margit von Mises
Pamela Anderson,Kid Rock
Arthur Miller,Inge Morath
Cary Grant,Virginia Cherrill
Briana Banks,Bobby Vitale
Pamela Anderson,Jon Peters
Karl von Terzaghi,Ruth Doggett Terzaghi
Joseph Schumpeter,Elizabeth Firuski
Harrison Ford,Calista Flockhart
Cary Grant,Dyan Cannon
Elizabeth Marvel,Bill Camp
Maria Altmann,Fredrick Altmann
Cheryl Benard,Zalmay Khalilzad
Herbert Blaché,Alice Guy-Blaché
Robert Armstrong,Peggy Allenby
Wilhelm Reich,Ilse Ollendorf
Talisa Soto,Benjamin Bratt
Pamela Anderson,Rick Salomon
Dominic Fumusa,Ilana Levine
Ilse Bing,Konrad Wolff
Robin Williams,Susan Schneider
Felix Deutsch,Helene Deutsch
Gerda Lerner,Carl Lerner
Max Schmeling,Anny Ondra
Joshua Lawrence Chamberlain,Fanny Chamberlain
Talisa Soto,Costas Mandylor
Eleanor Roosevelt,Franklin Delano Roosevelt
J. D. Salinger,Claire Douglas
Hede Massing,Gerhart Eisler
Anna Politkovskaya,Aleksandr Politkovsky
Uma Thurman,Gary Oldman
Felix Jackson,Deanna Durbin
Janet Jackson,"René Elizondo, Jr."
ZaSu Pitts,Tom Gallery
Lorin Maazel,Dietlinde Turban
Aretha Franklin,Glynn Turman
Uma Thurman,Ethan Hawke
Lorin Maazel,Israela Margalit
Sergei Rachmaninoff,Natalia Satina
Martha Gellhorn,Thomas Stanley Matthews
Janet Jackson,Wissam Al Mana
Alfred Edward Green,Vivian Reed
Elizabeth Berkley,Greg Lauren
Joan Bennett,Walter Wanger
Edmond O'Brien,Olga San Juan
Wiz Khalifa,Amber Rose
Janet Jackson,James DeBarge
Robert A. Heinlein,Virginia Heinlein
Sinclair Lewis,Dorothy Thompson
Martha Gellhorn,Bertrand de Jouvenel
Hans Albert Einstein,Elizabeth Roboz Einstein
Eddy Duchin,Marjorie Oelrichs
Edward Norton,Shauna Robertson
Martha Gellhorn,Ernest Hemingway
Abby Brammell,Jake La Botz
Jason O'Mara,Paige Turco
Ayn Rand,Frank O'Connor
Joan Bennett,Gene Markey
Lynd Ward,May McNeer
Kylie Ireland,Andy Appleton
"Alphonzo E. Bell, Jr.",Marian McCargo
Alicia Keys,Swizz Beatz
Tina Aumont,Christian Marquand
Ethel Merman,Ernest Borgnine
Annie Parisse,Paul Sparks
LeAnn Rimes,Eddie Cibrian
Amanda Peet,David Benioff
Anna Kournikova,Sergei Fedorov
Kathryn M. Drennan,J. Michael Straczynski
Victoria Silvstedt,Chris Wragge
Joan Baez,David Harris
Ethel Merman,Robert Six
LeAnn Rimes,Dean Sheremet
Dean Devlin,Lisa Brenner
Eric Nylund,Syne Mitchell
Douglas G. Hurley,Karen L. Nyberg
Frank Zappa,Gail Zappa
Douglas MacArthur,Jean MacArthur
Carmelo Anthony,La La Anthony
Andy Razaf,Jean Blackwell Hutson
Sylvia Plath,Ted Hughes
Willem de Kooning,Elaine de Kooning
Ted Kennedy,Victoria Reggie Kennedy
Adam Sandler,Jackie Sandler
Harry Houdini,Bess Houdini
Deborah Raffin,Michael Viner
Mekhi Phifer,Malinda Williams
Kelly Coffield Park,Steve Park
Ashley Tisdale,Christopher French
Louis Agassiz,Cecile Braun
June Christy,Bob Cooper
J. Michael Straczynski,Kathryn M. Drennan
Amber Valletta,Chip McCaw
Martin O'Malley,Katie O'Malley
Ian Somerhalder,Nikki Reed
Gena Lee Nolin,Cale Hulse
Paula Fox,Martin Greenberg
Irving Berlin,Dorothy Goetz
Mary McDonnell,Randle Mell
Peter H. Wyden,Barbara Wyden
Sibyl Moholy-Nagy,László Moholy-Nagy
Douglas MacArthur,Louise Cromwell Brooks
Carl Schurz,Margarethe Schurz
Al Jolson,Ruby Keeler
John Gray,Barbara De Angelis
Ted Kennedy,Joan Bennett Kennedy
Michael Douglas,Catherine Zeta-Jones
John Williams,Barbara Ruick
Kim Basinger,Alec Baldwin
Edmond O'Brien,Nancy Kelly
Anna Johnson Pell Wheeler,Sergey Degayev
Tracey Ullman,Allan McKeown
Salma Hayek,François-Henri Pinault
Gloria Katz,Willard Huyck
Louis Agassiz,Elizabeth Cabot Agassiz
Renée Zellweger,Kenny Chesney
Hilary Duff,Mike Comrie
Fred Weller,Ali Marsh
Jane Bowles,Paul Bowles
Paul Krugman,Robin Wells
Kim Basinger,Ron Snyder
John Forbes Nash,Alicia Nash
J. Robert Oppenheimer,Katherine Oppenheimer
Henry Draper,Mary Anna Draper
Stephen Full,Annie Wersching
Jeanne Tripplehorn,Leland Orser
Bill Ritter,Jeannie Ritter
Corine Mauch,Juliana Müller
Jean Kasem,Casey Kasem
Ed Harris,Amy Madigan
Lauren Bacall,Jason Robards
Jeff Goldblum,Laura Dern
Mel Brooks,Anne Bancroft
Doris Day,George William Weidler
Douglas Fairbanks,Mary Pickford
Lauren Bacall,Humphrey Bogart
Glenn Miller,Helen Dorothy Burger Miller
Doris Day,Martin Melcher
Sidney Poitier,Joanna Shimkus
Jerome Karle,Isabella Karle
Mervyn LeRoy,Edna Murphy
John Grisham,Renee Grisham
Candice Bergen,Louis Malle
Dennis Hopper,Brooke Hayward
Douglas Fairbanks,Sylvia Ashley
Gretchen Dutschke-Klotz,Rudi Dutschke
Myrna Loy,"John Hertz, Jr."
Myrna Loy,"Arthur Hornblow, Jr."
Dennis Hopper,Daria Halprin
Mickey Rooney,Ava Gardner
Myrna Loy,Gene Markey
Myrna Loy,Howland H. Sargeant
Holly Hunter,Janusz Kamiński
Buster Keaton,Natalie Talmadge
Harold Lloyd,Mildred Davis
Kurt Russell,Season Hubley
Mickey Rooney,Jan Rooney
Jennifer Connelly,Paul Bettany
Mickey Rooney,B. J. Baker
August Belmont,Caroline Slidell Perry Belmont
Charlie Sheen,Denise Richards
Jean Harlow,Harold Rosson
Groucho Marx,Eden Hartford
Kevin Kline,Phoebe Cates Kline
Mickey Rooney,Elaine Devry
Jean Harlow,Paul Bern
Charlie Sheen,Donna Peele
John Denver,Cassandra Delaney
Charlie Sheen,Brooke Mueller
Steven Soderbergh,Jules Asner
Mary Pickford,Charles Rogers
William Hurt,Heidi Henderson
Asaph Hall,Angeline Stickney
Mickey Rooney,Martha Vickers
Mickey Rooney,Carolyn Mitchell
Charlie Parker,Chan Parker
Steven Soderbergh,Betsy Brantley
Mary Pickford,Owen Moore
Mary Pickford,Douglas Fairbanks
Steve Buscemi,Jo Andres
William Powell,Carole Lombard
Daniel Webster,Caroline LeRoy
Macaulay Culkin,Rachel Miner
Yul Brynner,Virginia Gilmore
Jeff Goldblum,Emilie Livingston
Jeff Goldblum,Geena Davis
Eli Wallach,Anne Jackson
Billie Holiday,Joe Guy
William Powell,Diana Lewis
Kirk Douglas,Diana Douglas
Kirk Douglas,Anne Buydens
Jamie Lee Curtis,Christopher Guest
Christopher Lambert,Sophie Marceau
Christopher Lambert,Diane Lane
Doris Day,Al Jorden
Doris Day,Barry Comden
Eero Saarinen,Lilian Swann Saarinen
Éamon de Valera,Sinéad de Valera
George Bellows,Emma S. Bellows
Kate Hudson,Chris Robinson
Michael Crichton,Anne-Marie Martin
Darren O'Day,Elizabeth Prann
Michael Andretti,Jodi Ann Paterson
Brett Cullen,Michele Little
Charles Eames,Ray Eames
Thelma Schoonmaker,Michael Powell
Elmer George,Mari Hulman George
Viggo Mortensen,Exene Cervenka
Boris Johnson,Marina Wheeler
Oliver Stone,Elizabeth Burkit Cox
Oliver Stone,Najwa Sarkis
Hilda Geiringer,Felix Pollaczek
Mickey Rourke,Debra Feuer
Annie Dillard,Robert D. Richardson
Margaret Mead,Gregory Bateson
Dean Reed,Renate Blume
Helen Hunt,Hank Azaria
Hilda Geiringer,Richard von Mises
Jessica Lange,Paco Grande
Ken Baumann,Aviva Baumann
Mickey Rourke,Carré Otis
Jennifer Love Hewitt,Brian Hallisay
H. P. Lovecraft,Sonia Greene
Gary Sinise,Moira Harris
John Hamburg,Christina Kirk
Oliver Stone,Sun-jung Jung
Robert Duvall,Luciana Pedraza
Monica Seles,Tom Golisano
Jessica Simpson,Eric Johnson
Jon Voight,Lauri Peters
Sarah Jessica Parker,Matthew Broderick
Kate Hudson,Danny Fujikawa
Neal Cassady,Carolyn Cassady
Meg Ryan,Dennis Quaid
Laura Prepon,Ben Foster
W. H. Auden,Erika Mann
Aaron Burr,Theodosia Bartow Prevost
Jon Voight,Marcheline Bertrand
Alisa Weilerstein,Rafael Payare
Jennifer Garner,Ben Affleck
Neal Cassady,LuAnne Henderson
Milla Jovovich,Shawn Andrews
John Malkovich,Glenne Headly
Aaron Burr,Eliza Jumel
Niki de Saint Phalle,Harry Mathews
Madeleine Albright,Joseph Medill Patterson Albright
Howard Gardner,Ellen Winner
William Campbell,Judith Exner
Dolly Parton,Carl Thomas Dean
Niki de Saint Phalle,Jean Tinguely
Alexander Hamilton,Elizabeth Schuyler Hamilton
Samuel L. Jackson,LaTanya Richardson
Milla Jovovich,Paul W. S. Anderson
Brittany Murphy,Simon Monjack
Katie Holmes,Tom Cruise
Milton Ager,Cecelia Ager
Melanie Griffith,Don Johnson
Jeffrey Hunter,Barbara Rush
Jeffrey Hunter,Emily McLaughlin
Christopher George,Lynda Day George
James Murray Mason,Elizabeth (Eliza) Margaretta Chew
Thomas Hunt Morgan,Lilian Vaughan Morgan
Steven Weinberg,Louise Weinberg
Nathan Deal,Sandra Dunagan
Fergie,Josh Duhamel
Robert Frost,Elinor Miriam Frost
Josef Albers,Anni Albers
Kristen Bell,Dax Shepard
Michael Moore,Kathleen Glynn
Christopher Reeve,Dana Reeve
Melanie Griffith,Steven Bauer
Alec Baldwin,Kim Basinger
Joan Marshall,Hal Ashby
Colleen Camp,John Goldwyn
Melanie Griffith,Antonio Banderas
Shaquille O'Neal,Shaunie O'Neal
Joseph Gordon-Levitt,Tasha McCauley
Sonny Bono,Mary Bono
Faye Dunaway,Terry O'Neill
John C. Frémont,Jessie Benton Frémont
Thalía,Tommy Mottola
Lance Reventlow,Cheryl Holdridge
Margaret Mead,Reo Fortune
Sonny Bono,Cher
Faye Dunaway,Peter Wolf
Philip Kaufman,Rose Kaufman
Matt Damon,Luciana Bozán Barroso
Zbigniew Brzezinski,Emilie Benes Brzezinski
Liv Tyler,Royston Langdon
Gretchen Egolf,Adam Chodzko
The Notorious B.I.G.,Faith Evans
Sonny Bono,Susie Coelho
Henry Simmons,Sophina Brown
Nancy Pelosi,Paul Pelosi
Eero Saarinen,Aline B. Saarinen
Margaret Mead,Luther Cressman
Gene Hackman,Faye Maltese
Linh Nga,Thuyet Buon Vua
Lynn Redgrave,John Clark
Alexa Vega,Carlos Pena Jr
Alma Mahler,Walter Gropius
Ernst Krenek,Anna Mahler
Nam June Paik,Shigeko Kubota
Gene Hackman,Betsy Arakawa
Max Ernst,Luise Straus-Ernst
Yehudi Menuhin,Diana Gould
Ed Asner,Cindy Gilmore
Peter Bogdanovich,Louise Stratten
Louise Bourgeois,Robert Goldwater
Barbara Franklin,Wallace Barnes
Mae Busch,Francis McDonald
Michele Bachmann,Marcus Bachmann
Peter Bogdanovich,Polly Platt
Carlos Castañeda,Florinda Donner
Alma Mahler,Gustav Mahler
Alma Mahler,Franz Werfel
Alexa Vega,Sean Covel
Jerry Brown,Anne Gust
Jon Bon Jovi,Dorothea Hurley
Maria Carolina of Austria,Ferdinand I of the Two Sicilies
Laura Bush,George W. Bush
André Previn,Anne-Sophie Mutter
Michelle Pfeiffer,Peter Horton
André Previn,Dory Previn
Emmerich Kálmán,Vera Kálmán
Betty Hutton,Alan W. Livingston
Michelle Pfeiffer,David E. Kelley
Ed Asner,Nancy Sykes
Leonard Bernstein,Felicia Montealegre
Elinor Ostrom,Vincent Ostrom
Betty Hutton,Pete Candoli
Mike Huckabee,Janet Huckabee
Catwoman,Batman (Earth-Two)
André Previn,Heather Sneddon
Dolores Costello,John Barrymore
Chris Buck,Shelley Rae Hilton
André Previn,Mia Farrow
P!nk,Carey Hart
W.E.B. Du Bois,Shirley Graham Du Bois
André Previn,Betty Bennett
Jim Beaver,Cecily Adams
Eric Kandel,Denise Kandel
Ann Little,Allan Forrest
Fanny Brice,Billy Rose
Alice Lake,Robert Williams
Roy Lichtenstein,Isabel Sarisky
Roy Lichtenstein,Dorothy Lichtenstein
Charles Dana Gibson,Irene Langhorne Gibson
Idina Menzel,Taye Diggs
Kirstie Alley,Parker Stevenson
Lyonel Feininger,Julia Feininger
Fred Niblo,Enid Bennett
László Moholy-Nagy,Sibyl Moholy-Nagy
Susan Sontag,Philip Rieff
Fanny Brice,Nicky Arnstein
George Tabori,Viveca Lindfors
László Moholy-Nagy,Lucia Moholy
Claes Oldenburg,Coosje van Bruggen
Idina Menzel,Aaron Lohr
Michelle Williams,Phil Elverum
Robert Anderson,Teresa Wright
Louise Brooks,A. Edward Sutherland
Tim Pawlenty,Mary Pawlenty
Scott Brown,Gail Huff
Burt Lancaster,Norma Anderson
Rudolf Sieber,Marlene Dietrich
Theodore Olson,Barbara Olson
Rick Santorum,Karen Garver Santorum
Arnold Schoenberg,Mathilde Zemlinsky
Amy Acker,James Carpinello
Daniel Libeskind,Nina Libeskind
Steve McQueen,Ali MacGraw
Claes Oldenburg,Patty Mucha
George Marshall,Katherine Boyce Tupper Brown Marshall
Richard Holbrooke,Kati Marton
Steve McQueen,Neile Adams
Max Ernst,Peggy Guggenheim
Pat Nixon,Richard Nixon
Joe Lieberman,Hadassah Lieberman
Dorothy McGuire,John Swope
Henry Wadsworth Longfellow,Fanny Appleton Longfellow
Jenna Bush Hager,Henry Hager
Arnold Schoenberg,Gertrud Schoenberg
Mark Rothko,Mary Ellen Beistle
Colin Powell,Alma Powell
Michael Giacchino,Sophia Barber-Giacchino
Max Ernst,Dorothea Tanning
Steve McQueen,Barbara Minty
George Marshall,Elizabeth Carter Coles Marshall
Rod Blagojevich,Patricia Blagojevich
Johnny Weissmuller,Lupe Vélez
Freeman Dyson,Verena Huber-Dyson
Max Ernst,Marie-Berthe Aurenche
John D. Rockefeller,Laura Spelman Rockefeller
Leó Szilárd,Gertrud Weiss Szilard
John Constable,Maria Bicknell
Jensen Ackles,Danneel Harris
Meredith Eaton,Michael Gilden
Katherine Heigl,Josh Kelley
Dennis Quaid,Kimberly Quaid
Martha Washington,Daniel Parke Custis
Billy Joel,Katie Lee
Marvin Gaye,Anna Gordy Gaye
Anjelica Huston,Robert Graham
Olivia Wilde,Tao Ruspoli
Brian De Palma,Nancy Allen
Danny Elfman,Bridget Fonda
Jennifer Jones,David O. Selznick
Dennis Quaid,Meg Ryan
Jayne Meadows,Steve Allen
Philip Glass,JoAnne Akalaitis
Dennis Quaid,P. J. Soles
Ludacris,Eudoxie Mbouguiengue
Sofia Coppola,Thomas Mars
Robert McNamara,Margaret McNamara
Vladimir Horowitz,Wanda Toscanini
Steven Strait,Lynn Collins
Hugh Hefner,Kimberley Conrad
Hugh Hefner,Crystal Harris
Anthony Perkins,Berry Berenson
Edward Cullen,Bella Swan
Billy Joel,Christie Brinkley
Alyson Hannigan,Alexis Denisof
Brian De Palma,Darnell Gregorio-De Palma
Patricia Neal,Roald Dahl
Nancy Reagan,Ronald Reagan
Eileen Chang,Hu Lancheng
Elisabeth Elliot,Jim Elliot
Gene Roddenberry,Majel Barrett
Alexis Bledel,Vincent Kartheiser
Billy Joel,Alexis Roderick
Joseph McCarthy,Jean Kerr Minetti
Lou Reed,Laurie Anderson
Rob Schneider,Patricia Azarcoya Schneider
Bette Midler,Martin von Haselberg
Quincy Jones,Ulla Andersson
Val Kilmer,Joanne Whalley
Linda B. Buck,Roger Brent
Ryan Reynolds,Blake Lively
Nas,Kelis
Sissy Spacek,Jack Fisk
Zoe Saldana,Marco Perego
Ted Turner,Jane Fonda
Quincy Jones,Peggy Lipton
Laura Benanti,Christopher Barron Gross
Gabrielle Giffords,Mark Kelly
Laurence Fishburne,Hajna O. Moss
Steven Tyler,Teresa Barrick
Rob Schneider,London King
Jim Henson,Jane Henson
Zooey Deschanel,Ben Gibbard
Emily Blunt,John Krasinski
Laura Benanti,Steven Pasquale
"Nancy Astor, Viscountess Astor",Robert Gould Shaw II
Tony Scott,Donna W. Scott
Barbara Bush,George H. W. Bush
Gloria Stuart,Arthur Sheekman
Laurence Fishburne,Gina Torres
Brooke Shields,Chris Henchy
Zen Gesner,Cynthia Farrelly Gesner
Steven Tyler,Cyrinda Foxe
Justin Hartley,Mamie Gummer
Steve Vai,Pia Maiocco
Alicia Silverstone,Christopher Jarecki
Justin Hartley,Chrishell Stause
Cindy Crawford,Rande Gerber
Kelsey Grammer,Camille Grammer
Annette Bening,Warren Beatty
Joe Jonas,Sophie Turner
Brendan Fraser,Afton Smith
Alyssa Milano,Cinjun Tate
Jennifer Hale,Barry Oswick
Gene Wilder,Gilda Radner
Leighton Meester,Adam Brody
Alan Greenspan,Andrea Mitchell
Willard Libby,Leona Woods
Tony Scott,Gerry Scott
Jennifer Hudson,David Otunga
Harvey Keitel,Daphna Kastner
Martha Washington,George Washington
Zerka T. Moreno,Jacob L. Moreno
Frank B. Kellogg,Clara Cook Kellogg
Howard Hughes,Terry Moore
Chick Corea,Gayle Moran
Jennifer Jones,Norton Simon
Felicity Huffman,William H. Macy
Jennifer Jones,Robert Walker
"Nancy Astor, Viscountess Astor","Waldorf Astor, 2nd Viscount Astor"
Justin Hartley,Lindsay Hartley
Ignacy Jan Paderewski,Helena Paderewska
Rufus Wainwright,Jörn Weisbrodt
Sofia Coppola,Spike Jonze
Jonas Salk,Françoise Gilot
Christopher Plummer,Tammy Grimes
Christopher Plummer,Elaine Taylor
Howard Hughes,Jean Peters
Nicholas Schenck,Q60559236
Amelia Shepherd,Owen Hunt
Ted Nelson,Lauren Sarno
James Gordon,Sarah Essen
Karl H. Pribram,Katherine Neville
Zach Roerig,Nathalie Kelley
Yoko Ono,Anthony Cox
Edward Teller,Augusta H. Teller
Tippi Hedren,Peter Griffith
Sharon Stone,Phil Bronstein
Prince,Mayte Garcia
Marcel Duchamp,Alexina Duchamp
Marcel Duchamp,Lydie Sarazin-Levassor
Mary Steenburgen,Malcolm McDowell
Mary Steenburgen,Ted Danson
Martin Luther King Jr.,Coretta Scott King
Jack Benny,Mary Livingstone
Gene Amdahl,Marian Quissell
Henry Ford,Clara Bryant Ford
Richard Edlund,Rita Kogan
Yoko Ono,Toshi Ichiyanagi
Andrew Yao,Frances Yao
Dru Berrymore,Rafe
Kurt Kasznar,Leora Dana
Eminem,Kimberly Anne Scott
Lorenzo Lamas,Shauna Sand
Rudi Fehr,Maris Wrixon
Yoko Ono,John Lennon
Inge Morath,Arthur Miller
Tippi Hedren,Noel Marshall
Mercedes McCambridge,Fletcher Markle
Liliʻuokalani,John Owen Dominis
Herb Gardner,Rita Gardner
Mildred Cohn,Henry Primakoff
Henry Middleton,Lady Mary Mackenzie
Sharon Stone,Michael Greenburg
Frieda Fromm-Reichmann,Erich Fromm
Lucy R. Lippard,Robert Ryman
Mary de Rachewiltz,Boris de Rachewiltz
Charles Mingus Jr.,Sue Mingus
Zal Yanovsky,Jackie Burroughs
Lorenzo Lamas,Kathleen Kinmont
Maria Matray,Ernst Matray
Jack Conway,Viola Barry
Zack Snyder,Deborah Snyder
Herbert Matter,Mercedes Matter
Rosanna Arquette,James Newton Howard
Jean Piccard,Jeannette Piccard
Marge Simpson,Homer Simpson
Thomas Gholson,Anne Yates
Joe Biden,Neilia Hunter
Zachary Scott,Ruth Ford
Jon Moxley,Renee Young
Jay-Z,Beyoncé
Cyd Charisse,Tony Martin
Zachary Scott,Elaine Anderson Steinbeck
Lena Horne,Lennie Hayton
Tupac Shakur,Keisha Morris
Jean Simmons,Richard Brooks
Carol Chomsky,Noam Chomsky
Ida Lupino,Collier Young
Edgar Rice Burroughs,Florence Gilbert
Thomas Alva Edison,Mina Miller
Thomas Alva Edison,Mary Stilwell
Oona O'Neill,Charlie Chaplin
Mary Peters Fieser,Louis Fieser
