person,child
Anthony Hopkins,Abigail Hopkins
Clark Gable,Judy Lewis
Bette Davis,B. D. Hyman
Max Warburg,Eric M. Warburg
Cecil B. DeMille,Katherine DeMille
Cecil B. DeMille,Richard de Mille
Franz Boas,Franziska Boas
Eugene Meyer,Florence Meyer
Hal Roach,"Hal Roach, Jr."
Stephen Cook,Gordon Cook
Charlize Theron,Jackson Theron
Helene Deutsch,Martin Deutsch
Robert Redford,Amy Redford
George Peter Alexander Healy,Mary Healy
Bing Crosby,Nathaniel Crosby
Heinz Berggruen,Nicolas Berggruen
Jay-Z,Blue Ivy Carter
Jay-Z,Rumi Carter
Jay-Z,Sir Carter
Franz Boas,Ernst Philip Boas
Heinz Berggruen,Olivier Berggruen
Bing Crosby,Gary Crosby
Bing Crosby,Dennis Crosby
Arthur Miller,Rebecca Miller
Kim Hunter,The Guardian
Al Capone,"Albert Francis ""Sonny"" Capone"
Nathaniel Hawthorne,Mother Mary Alphonsa
Superman,Jonathan Samuel Kent
David Cryer,Jon Cryer
Danielle Steel,Nick Traina
Chris Columbus,Eleanor Columbus
George Gamow,Igor Gamow
Hermann Weyl,Fritz Joachim Weyl
Richard Courant,Ernest Courant
Bing Crosby,Phillip Crosby
Danielle Steel,Zara Alexandra Traina
Superman,Chris Kent
Frédéric Prinz von Anhalt,Marcus Prinz von Anhalt
Robert Redford,James Redford
Bing Crosby,Lindsay Crosby
Bing Crosby,Mary Crosby
Danielle Steel,Maximilian John Traina
Danielle Steel,Victoria Lea Traina
Paul Federn,Ernst Federn
Bing Crosby,Harry Crosby
Ralph Macchio,Julia Macchio
Danielle Steel,Vanessa Danielle Traina
Megan Fox,Journey River Green
Peter van Eyck,Kristina van Eyck
Nathaniel Hawthorne,Julian Hawthorne
Emile Berliner,Henry Berliner
Danielle Steel,Beatrix Lazard Seidenberg
William P. Murphy,William P. Murphy Jr.
Hanns Eisler,Georg Eisler
Spider-man,Spider-Girl
Spider-man,Benjamin Richard Parker
Danielle Steel,Samantha Traina
Emile Berliner,Herbert Samuel Berliner
Albert R. Broccoli,Barbara Broccoli
